freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.626e+02,5.780e+00,1.109e+01,4.795e+02
1.6,2.676e+02,1.505e+01,2.415e+01,3.068e+02
3.2,3.507e+01,1.478e+01,2.474e+01,7.459e+01
4.8,5.750e+02,1.541e+01,2.714e+01,6.175e+02
6.4,1.876e+03,1.582e+01,2.728e+01,1.919e+03
7.9,3.032e+03,1.600e+01,2.436e+01,3.072e+03
9.5,4.284e+03,1.674e+01,2.489e+01,4.326e+03
11.1,5.700e+03,1.843e+01,2.578e+01,5.745e+03
12.7,7.482e+03,1.942e+01,2.566e+01,7.527e+03
14.3,9.870e+03,1.866e+01,2.865e+01,9.917e+03
15.9,1.318e+04,1.763e+01,2.933e+01,1.323e+04
17.5,1.727e+04,1.852e+01,3.135e+01,1.732e+04
19.1,2.032e+04,2.434e+01,3.577e+01,2.038e+04
20.6,2.270e+04,3.941e+01,3.570e+01,2.277e+04
22.2,2.659e+04,5.464e+01,3.301e+01,2.668e+04
23.8,3.171e+04,5.425e+01,3.701e+01,3.181e+04
25.4,3.803e+04,5.591e+01,5.343e+01,3.814e+04
27.0,4.448e+04,5.395e+01,1.240e+02,4.465e+04
28.6,4.867e+04,4.833e+01,1.458e+02,4.887e+04
30.2,5.322e+04,4.897e+01,1.201e+02,5.339e+04
31.8,6.220e+04,7.449e+01,1.520e+02,6.243e+04
33.4,7.302e+04,1.202e+02,2.447e+02,7.338e+04
34.9,8.372e+04,1.057e+02,3.695e+02,8.420e+04
36.5,9.870e+04,6.190e+01,5.754e+02,9.934e+04
38.1,1.212e+05,6.144e+01,1.341e+03,1.226e+05
39.7,1.420e+05,1.421e+02,2.719e+03,1.449e+05
41.3,1.739e+05,4.135e+02,4.847e+03,1.792e+05
42.9,2.163e+05,6.876e+02,4.972e+03,2.220e+05
44.5,2.708e+05,7.549e+02,3.504e+03,2.751e+05
46.1,3.831e+05,7.934e+02,2.421e+03,3.864e+05
47.7,5.726e+05,7.439e+02,1.376e+03,5.748e+05
49.2,7.785e+05,5.798e+02,2.683e+03,7.818e+05
50.8,1.044e+06,4.311e+02,9.432e+03,1.053e+06
52.4,1.374e+06,4.816e+02,2.062e+04,1.395e+06
54.0,1.254e+06,1.032e+03,2.785e+04,1.283e+06
55.6,9.177e+05,2.215e+03,2.813e+04,9.481e+05
57.2,6.323e+05,2.219e+03,2.758e+04,6.621e+05
58.8,5.230e+05,1.355e+03,2.638e+04,5.507e+05
60.4,5.469e+05,1.055e+03,2.280e+04,5.707e+05
61.9,4.795e+05,1.225e+03,1.760e+04,4.983e+05
63.5,3.195e+05,1.277e+03,1.185e+04,3.326e+05
65.1,1.836e+05,1.175e+03,7.207e+03,1.920e+05
66.7,9.927e+04,1.115e+03,4.356e+03,1.047e+05
68.3,6.737e+04,1.405e+03,3.316e+03,7.210e+04
69.9,6.358e+04,2.454e+03,2.601e+03,6.863e+04
71.5,7.170e+04,5.141e+03,1.521e+03,7.837e+04
73.1,1.052e+05,8.151e+03,1.400e+03,1.147e+05
74.7,1.872e+05,9.002e+03,4.119e+03,2.003e+05
76.2,3.396e+05,1.007e+04,1.034e+04,3.600e+05
77.8,5.291e+05,1.310e+04,1.903e+04,5.613e+05
79.4,6.548e+05,1.369e+04,2.235e+04,6.908e+05
81.0,6.168e+05,1.389e+04,2.252e+04,6.533e+05
82.6,4.518e+05,1.181e+04,1.931e+04,4.830e+05
84.2,3.383e+05,9.999e+03,1.650e+04,3.648e+05
85.8,3.077e+05,1.095e+04,1.753e+04,3.362e+05
87.4,2.656e+05,1.138e+04,1.872e+04,2.957e+05
88.9,1.780e+05,6.155e+03,1.173e+04,1.959e+05
90.5,3.737e+04,1.895e+03,2.528e+03,4.180e+04
92.1,5.162e+03,1.931e+03,1.374e+03,8.467e+03
93.7,3.890e+03,2.341e+03,1.635e+03,7.865e+03
95.3,3.169e+03,2.646e+03,1.636e+03,7.451e+03
96.9,2.627e+03,3.744e+03,1.984e+03,8.354e+03
98.5,2.103e+03,5.082e+03,2.388e+03,9.574e+03
100.1,1.582e+03,5.307e+03,2.210e+03,9.098e+03
101.7,1.191e+03,4.524e+03,1.744e+03,7.460e+03
103.2,9.688e+02,4.067e+03,1.373e+03,6.409e+03
104.8,8.487e+02,3.419e+03,1.056e+03,5.324e+03
106.4,7.527e+02,2.454e+03,7.876e+02,3.994e+03
108.0,6.265e+02,1.777e+03,6.762e+02,3.080e+03
109.6,4.389e+02,1.271e+03,6.252e+02,2.335e+03
111.2,3.006e+02,8.409e+02,5.616e+02,1.703e+03
112.8,2.630e+02,5.820e+02,5.976e+02,1.443e+03
114.4,2.078e+02,4.944e+02,6.793e+02,1.382e+03
116.0,2.061e+02,5.143e+02,7.835e+02,1.504e+03
117.5,3.744e+02,4.942e+02,7.718e+02,1.640e+03
119.1,7.108e+02,4.997e+02,8.034e+02,2.014e+03
120.7,1.139e+03,4.639e+02,8.068e+02,2.409e+03
122.3,1.785e+03,3.623e+02,7.739e+02,2.921e+03
123.9,2.894e+03,2.930e+02,8.699e+02,4.057e+03
125.5,4.330e+03,3.798e+02,1.017e+03,5.727e+03
127.1,5.781e+03,6.469e+02,1.115e+03,7.542e+03
128.7,7.115e+03,4.966e+02,1.118e+03,8.729e+03
130.2,8.740e+03,3.991e+02,1.157e+03,1.030e+04
131.8,1.173e+04,3.783e+02,1.298e+03,1.340e+04
133.4,1.576e+04,3.667e+02,1.544e+03,1.768e+04
135.0,2.009e+04,3.858e+02,1.749e+03,2.223e+04
