freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.795e+02,1.460e+03,3.062e+03,4.702e+03
1.4,8.378e+02,8.894e+03,1.226e+04,2.199e+04
2.8,9.922e+02,1.137e+04,1.340e+04,2.577e+04
4.1,1.208e+03,1.195e+04,1.490e+04,2.807e+04
5.5,1.105e+03,1.050e+04,1.888e+04,3.048e+04
6.9,1.023e+03,1.159e+04,2.216e+04,3.477e+04
8.3,1.057e+03,1.155e+04,2.403e+04,3.663e+04
9.6,1.291e+03,1.069e+04,2.515e+04,3.713e+04
11.0,1.034e+03,1.055e+04,3.072e+04,4.230e+04
12.4,1.244e+03,1.084e+04,3.635e+04,4.843e+04
13.8,1.251e+03,1.192e+04,4.711e+04,6.028e+04
15.1,1.114e+03,1.417e+04,5.558e+04,7.086e+04
16.5,1.222e+03,1.389e+04,6.235e+04,7.746e+04
17.9,1.306e+03,1.425e+04,9.007e+04,1.056e+05
19.3,1.564e+03,1.498e+04,1.102e+05,1.267e+05
20.7,1.692e+03,1.523e+04,1.422e+05,1.592e+05
22.0,1.641e+03,2.034e+04,2.996e+05,3.216e+05
23.4,1.759e+03,1.815e+04,3.007e+05,3.206e+05
24.8,2.096e+03,2.126e+04,2.785e+05,3.018e+05
26.2,3.279e+03,2.851e+04,5.627e+05,5.945e+05
27.5,3.723e+03,3.104e+04,6.185e+05,6.533e+05
28.9,4.322e+03,3.287e+04,7.736e+05,8.108e+05
30.3,7.647e+03,5.048e+04,1.834e+06,1.892e+06
31.7,8.795e+03,5.879e+04,1.914e+06,1.981e+06
33.1,9.520e+03,8.404e+04,9.108e+05,1.004e+06
34.4,9.212e+03,1.267e+05,6.022e+05,7.381e+05
35.8,1.486e+04,2.930e+05,7.740e+05,1.082e+06
37.2,1.304e+04,3.037e+05,7.637e+05,1.080e+06
38.6,7.001e+03,1.829e+05,4.838e+05,6.738e+05
39.9,5.244e+03,1.650e+05,4.842e+05,6.544e+05
41.3,4.402e+03,1.216e+05,3.367e+05,4.627e+05
42.7,4.739e+03,1.266e+05,3.401e+05,4.715e+05
44.1,5.235e+03,1.364e+05,3.746e+05,5.163e+05
45.4,4.630e+03,1.094e+05,2.717e+05,3.857e+05
46.8,4.367e+03,1.101e+05,2.685e+05,3.830e+05
48.2,4.334e+03,1.030e+05,2.496e+05,3.569e+05
49.6,4.168e+03,8.105e+04,1.773e+05,2.625e+05
51.0,4.818e+03,8.150e+04,1.625e+05,2.488e+05
52.3,5.060e+03,8.527e+04,1.673e+05,2.576e+05
53.7,6.434e+03,1.082e+05,1.965e+05,3.111e+05
55.1,7.677e+03,1.050e+05,1.755e+05,2.882e+05
56.5,7.302e+03,8.807e+04,1.316e+05,2.270e+05
57.8,9.568e+03,1.145e+05,1.388e+05,2.629e+05
59.2,1.068e+04,1.068e+05,1.196e+05,2.371e+05
60.6,1.023e+04,1.158e+05,1.217e+05,2.478e+05
62.0,1.269e+04,1.249e+05,1.142e+05,2.518e+05
63.3,1.810e+04,1.591e+05,1.353e+05,3.125e+05
64.7,1.913e+04,1.655e+05,1.434e+05,3.280e+05
66.1,2.147e+04,1.616e+05,1.185e+05,3.015e+05
67.5,2.714e+04,1.853e+05,1.133e+05,3.258e+05
68.9,2.140e+04,1.504e+05,9.307e+04,2.649e+05
70.2,2.108e+04,1.333e+05,8.273e+04,2.371e+05
71.6,3.079e+04,1.847e+05,1.021e+05,3.177e+05
73.0,3.689e+04,1.915e+05,8.494e+04,3.134e+05
74.4,2.375e+04,1.553e+05,7.548e+04,2.545e+05
75.7,2.070e+04,1.625e+05,8.122e+04,2.644e+05
77.1,2.106e+04,1.512e+05,6.980e+04,2.421e+05
78.5,1.995e+04,1.680e+05,6.540e+04,2.533e+05
79.9,1.685e+04,1.678e+05,6.776e+04,2.525e+05
81.3,1.651e+04,1.475e+05,6.109e+04,2.251e+05
82.6,1.757e+04,1.403e+05,4.725e+04,2.051e+05
84.0,1.616e+04,1.200e+05,3.942e+04,1.756e+05
85.4,1.897e+04,1.221e+05,3.132e+04,1.724e+05
86.8,2.099e+04,1.392e+05,3.390e+04,1.941e+05
88.1,1.443e+04,9.112e+04,2.524e+04,1.308e+05
89.5,1.289e+04,8.243e+04,2.373e+04,1.191e+05
90.9,1.254e+04,8.286e+04,2.384e+04,1.192e+05
